2025-04-14 22:36:22.278  INFO 40178 --- [Test worker] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 47 ms. Found 11 JPA repository interfaces.
2025-04-14 22:36:22.344  WARN 40178 --- [Test worker] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.app.lifetimefinancialplanner]' package. Please check your configuration.
2025-04-14 22:36:22.659  INFO 40178 --- [Test worker] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-04-14 22:36:23.230  INFO 40178 --- [Test worker] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-04-14 22:36:23.301  INFO 40178 --- [Test worker] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-14 22:36:23.337  INFO 40178 --- [Test worker] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.6.15.Final
2025-04-14 22:36:23.447  INFO 40178 --- [Test worker] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-04-14 22:36:23.526  INFO 40178 --- [Test worker] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2025-04-14 22:36:27.425  INFO 40178 --- [Test worker] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-04-14 22:36:27.442  INFO 40178 --- [Test worker] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-14 22:36:28.083  WARN 40178 --- [Test worker] o.mybatis.spring.SqlSessionFactoryBean   : Property 'mapperLocations' was specified but matching resources are not found.
2025-04-14 22:36:28.269  WARN 40178 --- [Test worker] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-14 22:36:28.669  INFO 40178 --- [Test worker] c.a.l.i.SimulationServiceIntegrationTest : Started SimulationServiceIntegrationTest in 7.256 seconds (JVM running for 8.146)
2025-04-14 22:36:29.106  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.106  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.134  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.134  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.159  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.159  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.187  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.187  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.213  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.214  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.241  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.241  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.270  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.271  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.303  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.303  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.328  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.329  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.354  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.355  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.381  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.382  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:36:29.407  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:36:29.407  INFO 40178 --- [Test worker] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
